"","Team","Conf","Year","G","PTS","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","REB","AST","STL","BLK","TOV","PF","W","L","2PA","2P","2P%"
"1","Milwaukee Bucks","East",2021,72,120.1,44.7,91.8,0.487,14.4,37.1,0.389,16.2,21.4,0.76,10.3,37.8,48.1,25.5,8.1,4.6,13.4,17.3,46,26,54.7,30.3,0.553930530164534
"2","Brooklyn Nets","East",2021,72,118.6,43.1,87.3,0.494,14.2,36.1,0.392,18.1,22.5,0.804,8.9,35.5,44.4,26.8,6.7,5.3,13.1,19,48,24,51.2,28.9,0.564453125
"3","Washington Wizards","East",2021,72,116.6,43.2,90.9,0.475,10.2,29,0.351,20.1,26.2,0.769,9.7,35.5,45.2,25.5,7.3,4.1,13.9,21.6,34,38,61.9,33,0.533117932148627
"4","Utah Jazz","West",2021,72,116.4,41.3,88.1,0.468,16.7,43,0.389,17.2,21.5,0.799,10.6,37.6,48.3,23.7,6.6,5.2,13.5,18.5,52,20,45.1,24.6,0.545454545454546
"5","Portland Trail Blazers","West",2021,72,116.1,41.3,91.1,0.453,15.7,40.8,0.385,17.8,21.6,0.823,10.6,33.9,44.5,21.3,6.9,5,10.8,18.9,42,30,50.3,25.6,0.508946322067594
"6","Indiana Pacers","East",2021,72,115.3,43.3,91.2,0.474,12.3,34,0.364,16.4,20.7,0.792,9,33.7,42.7,27.4,8.5,6.4,13,20.2,34,38,57.2,31,0.541958041958042
"7","Phoenix Suns","West",2021,72,115.3,43.3,88.3,0.49,13.1,34.6,0.378,15.6,18.7,0.834,8.8,34.2,42.9,26.9,7.2,4.3,12,19.1,51,21,53.7,30.2,0.562383612662942
"8","Denver Nuggets","West",2021,72,115.1,43.3,89.2,0.485,12.9,34.2,0.377,15.7,19.5,0.803,10.5,33.9,44.4,26.8,8.1,4.5,12.8,19.1,47,25,55,30.4,0.552727272727273
"9","New Orleans Pelicans","West",2021,72,114.6,42.5,89.1,0.477,10.6,30.4,0.348,19,26.1,0.729,11.7,35.7,47.4,26,7.6,4.4,13.9,18,31,41,58.7,31.9,0.543441226575809
"10","Los Angeles Clippers","West",2021,72,114,41.8,86.7,0.482,14.3,34.7,0.411,16.2,19.3,0.839,9.4,34.7,44.2,24.4,7.1,4.1,12.4,19.2,47,25,52,27.5,0.528846153846154
