Away,Away PTS,Home,Home PTS,Home_or_away,Year,Winner
Washington Bullets,96,Philadelphia 76ers,111,Home,1980,Philadelphia 76ers
San Antonio Spurs,85,Houston Rockets,95,Home,1980,Houston Rockets
Portland Trail Blazers,110,Seattle SuperSonics,120,Home,1980,Seattle SuperSonics
Kansas City Kings,93,Phoenix Suns,96,Home,1980,Phoenix Suns
Phoenix Suns,96,Kansas City Kings,106,Home,1980,Kansas City Kings
Seattle SuperSonics,95,Portland Trail Blazers,105,Home,1980,Portland Trail Blazers
Houston Rockets,101,San Antonio Spurs,106,Home,1980,San Antonio Spurs
Philadelphia 76ers,112,Washington Bullets,104,Away,1980,Philadelphia 76ers
San Antonio Spurs,120,Houston Rockets,141,Home,1980,Houston Rockets
Atlanta Hawks,104,Philadelphia 76ers,107,Home,1980,Philadelphia 76ers
Kansas City Kings,99,Phoenix Suns,114,Home,1980,Phoenix Suns
Portland Trail Blazers,86,Seattle SuperSonics,103,Home,1980,Seattle SuperSonics
Milwaukee Bucks,113,Seattle SuperSonics,114,Home,1980,Seattle SuperSonics
Phoenix Suns,110,Los Angeles Lakers,119,Home,1980,Los Angeles Lakers
Houston Rockets,101,Boston Celtics,119,Home,1980,Boston Celtics
Phoenix Suns,128,Los Angeles Lakers,131,Home,1980,Los Angeles Lakers
Atlanta Hawks,92,Philadelphia 76ers,99,Home,1980,Philadelphia 76ers
Milwaukee Bucks,114,Seattle SuperSonics,112,Away,1980,Milwaukee Bucks
Philadelphia 76ers,93,Atlanta Hawks,105,Home,1980,Atlanta Hawks
Houston Rockets,75,Boston Celtics,95,Home,1980,Boston Celtics
Seattle SuperSonics,91,Milwaukee Bucks,95,Home,1980,Milwaukee Bucks
Los Angeles Lakers,108,Phoenix Suns,105,Away,1980,Los Angeles Lakers
Los Angeles Lakers,101,Phoenix Suns,127,Home,1980,Phoenix Suns
Seattle SuperSonics,112,Milwaukee Bucks,107,Away,1980,Seattle SuperSonics
Philadelphia 76ers,107,Atlanta Hawks,83,Away,1980,Philadelphia 76ers
Boston Celtics,100,Houston Rockets,81,Away,1980,Boston Celtics
Boston Celtics,138,Houston Rockets,121,Away,1980,Boston Celtics
Phoenix Suns,101,Los Angeles Lakers,126,Home,1980,Los Angeles Lakers
Atlanta Hawks,100,Philadelphia 76ers,105,Home,1980,Philadelphia 76ers
Milwaukee Bucks,108,Seattle SuperSonics,97,Away,1980,Milwaukee Bucks
Philadelphia 76ers,96,Boston Celtics,93,Away,1980,Philadelphia 76ers
Seattle SuperSonics,86,Milwaukee Bucks,85,Away,1980,Seattle SuperSonics
Philadelphia 76ers,90,Boston Celtics,96,Home,1980,Boston Celtics
Milwaukee Bucks,94,Seattle SuperSonics,98,Home,1980,Seattle SuperSonics
Seattle SuperSonics,108,Los Angeles Lakers,107,Away,1980,Seattle SuperSonics
Boston Celtics,97,Philadelphia 76ers,99,Home,1980,Philadelphia 76ers
Seattle SuperSonics,99,Los Angeles Lakers,108,Home,1980,Los Angeles Lakers
Boston Celtics,90,Philadelphia 76ers,102,Home,1980,Philadelphia 76ers
Los Angeles Lakers,104,Seattle SuperSonics,100,Away,1980,Los Angeles Lakers
Philadelphia 76ers,105,Boston Celtics,94,Away,1980,Philadelphia 76ers
Los Angeles Lakers,98,Seattle SuperSonics,93,Away,1980,Los Angeles Lakers
Seattle SuperSonics,105,Los Angeles Lakers,111,Home,1980,Los Angeles Lakers
Philadelphia 76ers,102,Los Angeles Lakers,109,Home,1980,Los Angeles Lakers
Philadelphia 76ers,107,Los Angeles Lakers,104,Away,1980,Philadelphia 76ers
Los Angeles Lakers,111,Philadelphia 76ers,101,Away,1980,Los Angeles Lakers
